subject,combo,condition,window_number,F1,F3,C3,P3,O1,F7,T3,T5,Fz,Cz,Pz,Oz,T6,T4,F8,O2,P4,C4,F4,F2,OPTO
30_01,c3,oc,1301,0.9452120100385476,0.8819626344151842,0.9131141733655548,0.8580468682037683,0.9107828471682856,0.9669809655935157,0.9323311743910394,0.9174655702068607,0.8835145592287633,0.9637753826719396,0.956233003161266,0.925769863266248,0.9679846174481445,0.992370789516434,0.9887424961717713,0.8954035592923658,0.9350579174375566,0.958259090844901,0.9641955595410066,0.9890724577561347,0.8204193187194458
30_01,c3,oc,1366,0.934670496354355,0.8777736183431057,0.9002270291984348,0.8848051980532478,0.9173721930985385,0.9587542519264101,0.9300675527899123,0.9373454823274683,0.880576335919211,0.9647036702374696,0.9542415533930697,0.9294962260246263,0.9675521686190605,0.9829812685066586,0.9903734528554027,0.9029477120121747,0.923895914576781,0.9558605470983776,0.9621009221715471,0.9902868287406488,0.8244717455149194
30_01,c3,oc,1431,0.927535844397785,0.8568343329612472,0.8764053527653196,0.8750148191545231,0.9307059096368577,0.9526718082781769,0.9274717272539702,0.9309864766427215,0.8639196428995334,0.9619243809914544,0.9259958185160073,0.9273511358085329,0.9696938758742979,0.9768111619812772,0.9825296666115237,0.8950049466257077,0.9001088746427336,0.9433318020699849,0.9548075827661779,0.9837159586332821,0.8433096189803391
30_01,c3,oc,1496,0.9297915331449418,0.8623249255259059,0.8605482641153094,0.8672345340926941,0.914213366953084,0.9456317526699423,0.9276172915421053,0.9082463776109131,0.8559698489534606,0.955091412647483,0.902551422149191,0.8940306668772704,0.965497691242708,0.9612621056063722,0.9628741194005864,0.8814614380741878,0.891512767086223,0.9279587038915478,0.9445624132674814,0.9795077269770784,0.8282201699393854
30_01,c3,oc,1561,0.9158376269158738,0.8658318458900623,0.874566561556792,0.867537160667705,0.9233208071089845,0.9309487613323245,0.9317482086521316,0.9148098754061674,0.8523136171249303,0.9424018884009447,0.8880564192183835,0.8984336487936955,0.9612257746387122,0.9526678804754367,0.957557201541615,0.8716680852703821,0.8757559723935024,0.9131839258154264,0.9165900783226596,0.9746753974410389,0.8321086529902194
30_01,c3,oc,1626,0.9280838601403196,0.8778921373221995,0.8645586501386743,0.8664918357746183,0.9527383683792895,0.9115984189569457,0.9304800791275017,0.9385076628250874,0.8550626359242023,0.933470168908633,0.90513130248221,0.8970701295714336,0.9561647450361229,0.9500944391489309,0.9594841087745377,0.8926703287419688,0.8924581525839062,0.9267928705254883,0.9223579311388582,0.9799396721062065,0.7842429989637842
30_01,c3,oc,1691,0.9353770047391906,0.889333169346349,0.8650371051812101,0.8548042481482689,0.9656555119862074,0.9378344251514666,0.9362201846903595,0.9327652066601354,0.8619534000594301,0.9210442160165334,0.9217487945692773,0.8905351105965102,0.9578253043549438,0.9574261868824147,0.9566839210697062,0.9156711204823375,0.9102648553177972,0.933221750781559,0.9337237371555093,0.9760797285616394,0.7706125631256727
30_01,c3,oc,1756,0.9564023957304281,0.8970773183391673,0.8884221496637248,0.8862024361471561,0.972022414042883,0.9487033266680365,0.9599009842589429,0.9543928377745827,0.8609272305832283,0.9459440537390252,0.9466352162683317,0.8947919875867099,0.9604551469415936,0.9639796305025281,0.9700052740862043,0.932378084112652,0.925423312493041,0.9460251192757282,0.9522867406228267,0.9853165459317971,0.7402656781939253
30_01,c3,oc,1821,0.9724851909020396,0.9093119963453236,0.908630034608084,0.8947331089119972,0.978469958487249,0.960751517227211,0.9646696683356679,0.9624538911640184,0.8689210399086429,0.9651577211702944,0.9731549949662281,0.9279711288685101,0.9648821933040983,0.9790371939747978,0.9811798461605816,0.9541049026655133,0.9449281970565606,0.9681263269783668,0.9625650241500037,0.987595181635697,0.7094614001701871
30_01,c3,oc,1886,0.9734249435437419,0.8965016617892869,0.9176906510563938,0.9137419465416557,0.9800290887435267,0.964328026023673,0.969722790928665,0.9644689052894154,0.8767451266759525,0.9719381105014671,0.9849749883756251,0.9208795379004604,0.9775169154915526,0.9810718823121688,0.9790486789698447,0.9647041573204364,0.9617525151887246,0.9751152024165294,0.9587329373838331,0.9884123283611479,0.7151475738357937
